mal_id,title_japanese,type,episodes,score,scored_by,rank,year,url
2904,コードギアス 反逆のルルーシュ R2,TV,25,8.91,1250269,19,2008,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
35180,3月のライオン 第2シリーズ,TV,22,8.9,209028,20,2017,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
15335,劇場版 銀魂 完結篇 万事屋よ永遠なれ,Movie,1,8.9,141096,21,,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
19,モンスター,TV,74,8.89,470274,22,2004,https://myanimelist.net/anime/19/Monster
37491,銀魂. 銀ノ魂篇 後半戦,TV,14,8.88,102637,23,2018,https://myanimelist.net/anime/37491/Gintama_Shirogane_no_Tamashii-hen_-_Kouhan-sen
58514,薬屋のひとりごと 第2期,TV,24,8.87,67217,25,2025,https://myanimelist.net/anime/58514/Kusuriya_no_Hitorigoto_2nd_Season
54492,薬屋のひとりごと,TV,24,8.87,349059,24,2023,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto
51535,進撃の巨人 The Final Season完結編,TV Special,2,8.86,464223,27,,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen
35247,終物語,TV Special,7,8.86,203522,26,,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
37987,劇場版 ヴァイオレット・エヴァーガーデン,Movie,1,8.85,312397,28,,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
40682,キングダム 第3シリーズ,TV,26,8.83,48163,30,2020,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
32281,君の名は。,Movie,1,8.83,2002472,29,,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
59571,劇場版 進撃の巨人 完結編 THE LAST ATTACK,Movie,1,8.82,16056,31,,https://myanimelist.net/anime/59571/Shingeki_no_Kyojin_Movie__Kanketsu-hen_-_The_Last_Attack
59571,劇場版 進撃の巨人 完結編 THE LAST ATTACK,Movie,1,8.82,16056,31,,https://myanimelist.net/anime/59571/Shingeki_no_Kyojin_Movie__Kanketsu-hen_-_The_Last_Attack
49387,ヴィンランド・サガ SEASON2,TV,24,8.81,412324,32,2023,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2
36838,銀魂. 銀ノ魂篇,TV,12,8.81,111399,33,2018,https://myanimelist.net/anime/36838/Gintama_Shirogane_no_Tamashii-hen
55255,ALIEN STAGE (에일리언스테이지),Music,,8.8,3009,,,https://myanimelist.net/anime/55255/Alien_Stage
37510,モブサイコ100 II,TV,13,8.78,1036807,37,2019,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
31758,傷物語〈Ⅲ冷血篇〉,Movie,1,8.78,286636,36,,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
40028,進撃の巨人 The Final Season,TV,16,8.78,1434871,35,2021,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
263,はじめの一歩 THE FIGHTING!,TV,75,8.78,321537,34,2000,https://myanimelist.net/anime/263/Hajime_no_Ippo
32935,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,TV,10,8.77,842766,38,2016,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
37521,ヴィンランド・サガ,TV,24,8.77,976614,40,2019,https://myanimelist.net/anime/37521/Vinland_Saga
199,千と千尋の神隠し,Movie,1,8.77,1364048,39,,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
17074,〈物語〉シリーズ セカンドシーズン,TV,26,8.76,371280,42,2013,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
48583,進撃の巨人 The Final Season Part 2,TV,12,8.76,852505,41,2022,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2
2921,あしたのジョー２,TV,47,8.75,23900,44,1980,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
47917,ぼっち・ざ・ろっく！,TV,12,8.75,421906,45,2022,https://myanimelist.net/anime/47917/Bocchi_the_Rock
51009,呪術廻戦 懐玉・玉折／渋谷事変,TV,23,8.75,683240,43,2023,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season
1,カウボーイビバップ,TV,26,8.75,1019317,46,1998,https://myanimelist.net/anime/1/Cowboy_Bebop
55690,僕の心のヤバイやつ 第2期,TV,13,8.74,148155,47,2024,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season
